icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,timestamp_ingest
e0b2d8,LQKKX,Argentina,1750871880,1750871880,-58.7962,-33.9352,7315.2,false,92.32,321.79,2025-06-25T17:18:13.620211+00:00Z
e48e94,GLO1397,Brazil,1750871880,1750871880,-47.1268,-23.1541,4046.22,false,148.21,168.18,2025-06-25T17:18:13.620300+00:00Z
e48e09,GLO1026,Brazil,1750871696,1750871699,-45.7615,-23.6051,7459.98,false,226.4,83.21,2025-06-25T17:18:13.620562+00:00Z
e49fb3,AZU2718,Brazil,1750871879,1750871879,-50.8595,-29.5753,5547.36,false,166.33,22.36,2025-06-25T17:18:13.620639+00:00Z
e4a012,TAM4630,Brazil,1750871879,1750871880,-46.3564,-23.6593,3368.04,false,182.66,55.33,2025-06-25T17:18:13.620793+00:00Z
ae08bf,SHARK07,United States,1750871878,1750871878,-43.5377,-22.906,2004.06,false,153.56,147.59,2025-06-25T17:18:13.621017+00:00Z
e48985,GLO1259,Brazil,1750871880,1750871880,-50.5287,-29.4279,7772.4,false,209.22,39.01,2025-06-25T17:18:13.621094+00:00Z
e48986,GLO1567,Brazil,1750871876,1750871879,-46.823,-22.5811,7307.58,false,197.27,223.1,2025-06-25T17:18:13.621169+00:00Z
405bfe,BAW248,United Kingdom,1750871644,1750871662,-45.3207,-24.9166,12496.8,false,277.93,44.4,2025-06-25T17:18:13.621550+00:00Z
e485b0,TAM3639,Brazil,1750871880,1750871880,-47.0382,-23.1079,5074.92,false,194.3,72.91,2025-06-25T17:18:13.621845+00:00Z
e4999d,TAM8036,Brazil,1750871869,1750871874,-48.6489,-24.8095,9144.0,false,199.86,238.15,2025-06-25T17:18:13.621990+00:00Z
e49957,GLO2155,Brazil,1750871880,1750871880,-46.7388,-23.6938,2446.02,false,140.55,326.95,2025-06-25T17:18:13.622443+00:00Z
e49c11,SAFE02,Brazil,1750871879,1750871879,-46.5563,-23.8611,1234.44,false,48.23,213.69,2025-06-25T17:18:13.622971+00:00Z
e49aab,TAM3916,Brazil,1750871833,1750871835,-46.6576,-23.6297,null,true,0.9,56.25,2025-06-25T17:18:13.623199+00:00Z
abcf7f,GTI8050,United States,1750871879,1750871880,-46.4516,-22.8322,7848.6,false,219.52,295.54,2025-06-25T17:18:13.623272+00:00Z
e49aa8,TAM8142,Brazil,1750871879,1750871879,-56.8181,-33.403,11590.02,false,204.11,223.88,2025-06-25T17:18:13.623347+00:00Z
e49b53,GLO7631,Brazil,1750871880,1750871880,-51.0808,-28.3972,8839.2,false,239.71,33.18,2025-06-25T17:18:13.623567+00:00Z
e49b63,PSDJS,Brazil,1750871861,1750871868,-46.7164,-23.6038,815.34,false,25.72,36.87,2025-06-25T17:18:13.623808+00:00Z
e49a96,AZU4849,Brazil,1750871831,1750871832,-47.8442,-25.3912,9144.0,false,207.51,194.79,2025-06-25T17:18:13.624266+00:00Z
e49a8b,AZU2762,Brazil,1750871879,1750871879,-46.6029,-23.1388,11582.4,false,197.86,203.77,2025-06-25T17:18:13.624343+00:00Z
e49a86,AZU2849,Brazil,1750871880,1750871880,-47.238,-22.9335,1249.68,false,110.41,127.62,2025-06-25T17:18:13.624417+00:00Z
e4a236,PSAVB,Brazil,1750871879,1750871879,-46.8763,-23.6693,1303.02,false,46.01,349.7,2025-06-25T17:18:13.624492+00:00Z
e4a130,TAM3066,Brazil,1750871771,1750871830,-48.163,-24.9014,7147.56,false,178.39,229.33,2025-06-25T17:18:13.624785+00:00Z
e49405,GLO1247,Brazil,1750870761,1750871825,-49.9403,-27.2195,8839.2,false,232.12,30.94,2025-06-25T17:18:13.625090+00:00Z
e49444,AZU2595,Brazil,1750871837,1750871853,-47.7107,-24.9286,4480.56,false,195.78,194.77,2025-06-25T17:18:13.625327+00:00Z
e49445,AZU6076,Brazil,1750871879,1750871879,-46.5163,-23.0264,4206.24,false,164.08,203.27,2025-06-25T17:18:13.625402+00:00Z
e4931d,PROTV,Brazil,1750871880,1750871880,-47.0185,-23.4382,2499.36,false,133.78,106.76,2025-06-25T17:18:13.626085+00:00Z
e49306,PRCBJ,Brazil,1750871880,1750871880,-47.708,-23.165,2171.7,false,107.7,102.97,2025-06-25T17:18:13.626171+00:00Z
e491a3,TAM3922,Brazil,1750871879,1750871880,-46.5614,-23.6885,1737.36,false,148.86,116.92,2025-06-25T17:18:13.626325+00:00Z
e491a9,AZU4392,Brazil,1750871880,1750871880,-47.9416,-22.716,4594.86,false,103.1,323.93,2025-06-25T17:18:13.626470+00:00Z
e490b1,AZU4063,Brazil,1750871641,1750871641,-49.0233,-22.8669,9753.6,false,192.37,286.79,2025-06-25T17:18:13.626920+00:00Z
e49104,GLO9168,Brazil,1750871879,1750871879,-43.4676,-22.7377,1295.4,false,98.42,66.92,2025-06-25T17:18:13.626994+00:00Z
e4988d,GLO9011,Brazil,1750871637,1750871637,-43.2737,-22.8058,7.62,false,77.09,125.49,2025-06-25T17:18:13.636300+00:00Z
e49890,GLO1572,Brazil,1750871880,1750871880,-46.1325,-23.5492,5539.74,false,185.24,46.69,2025-06-25T17:18:13.636417+00:00Z
e4851a,TAM4553,Brazil,1750871876,1750871879,-43.8246,-23.3641,8694.42,false,181.52,243.58,2025-06-25T17:18:13.636694+00:00Z
e4851b,TAM3929,Brazil,1750871880,1750871880,-45.9973,-23.9267,6339.84,false,166.96,256.82,2025-06-25T17:18:13.636779+00:00Z
e49830,AZU2959,Brazil,1750871841,1750871879,-46.2451,-23.3177,3002.28,false,173.38,30.29,2025-06-25T17:18:13.636858+00:00Z
e483dd,TAM3824,Brazil,1750871880,1750871880,-46.0577,-23.1528,7505.7,false,212.24,14.17,2025-06-25T17:18:13.636936+00:00Z
